userName,email,nickName,password,phoneNumber,sex,birthday,postNumber,address,result
,274175184@qq.com,刘子玮,123456,18621807253,0,1999/1/11,224500,曹安公路4800号,FALSE
test10,,刘子玮,123456,18621807253,0,1999/1/12,224500,曹安公路4800号,FALSE
,,刘子玮,123456,18621807253,0,1999/1/13,224500,曹安公路4800号,FALSE
Yuan,274175179@qq.com,刘子玮,123456,18621807253,0,1999/1/14,224500,曹安公路4800号,FALSE
test10,222222@qq.com,刘子玮,123456,18621807253,0,1999/1/15,224500,曹安公路4800号,FALSE
test1,222222@qq.com,刘子玮,123456,18621807253,0,1999/1/16,224500,曹安公路4800号,FALSE
test10,274175179@qq.com,刘子玮,###@@！,18621807253,0,1999/1/17,224500,曹安公路4800号,FALSE
test10,274175180@qq.com,刘子玮,123456,55555,0,1999/1/18,224500,曹安公路4800号,FALSE
test10,274175181@qq.com,刘子玮,123456,18621807253,0,7367/12/5,224500,曹安公路4800号,FALSE
test10,274175182@qq.com,刘子玮,123456,18621807253,0,1999/1/11,2018000,曹安公路4800号,FALSE
test10,274175183@qq.com,刘子玮,123456,18621807253,0,1999/1/12,-201800,曹安公路48000号,FALSE
test10,274175184@qq.com,刘子玮,123456,18621807253,0,1999/1/13,224500,无,TRUE
